"screen_name","followers_count","text"
"Harris_Emma",220,"Covid, but make it fashion. Ammirite @Topshop ?

(Before anyone jumps on, it's a legit place in California, but the ad campaign at this time is rather <U+0001F62C><U+0001F62C><U+0001F62C>)

#covid #corona https://t.co/FYAJaEJn5R"
"rajnara26929405",6,"#CPFaridabad applauded #crime branch officials for solving over one hundred crimes against property cases in last 7 days. This is despite over 60% of around 300 men in the CB being infected with #corona, they are more belligerent than ever! @FBDPolice is extremely proud of them! https://t.co/cVQY0ZcsDe"
"ImJerryntom",136,"#Delhi #SOS #COVID19India
Need A+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Jaipur Golden Hospital. 
Contact 9899333416
Via
@drmudita
 #Bloodpointorg #Bloodmatters"
"ImJerryntom",136,"#Delhi #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Fortis Hospital, Vasant kunj.
Contact 7827756295 
via
@Rakshit88681554
 #Bloodpointorg #Bloodmatters"
"Beniwal2Pradeep",20,"I believe, theatre owners have gone mad if they are asking govt to give permission to open theatres. Govt closed theatres when 500 #Corona cases were in the country. And they are asking to open when 50lakh #Corona cases are in the country. It’s really very funny behaviour of them"
"BhaskarSahi",632,"If you or someone else is suffering from coronavirus, write this code 4986489 in blue ink on their left arm. Also write 19751 a little far from that code on left arm itself. #NumeroNeha #Corona"
"CognetiksC",134,"The acceleration of digital transformation during the pandemic has created new IT risks. How has the current pandemic affected your IT?
#covid #coronavirus #corona #quarantine #digitaltransformation #cloudcomputing #informationtechnology #technology #cybersecurity #tech https://t.co/tlXskacyCv"
"lockenralf",90,"@realDonaldTrump Heartless is to lie about #Corona and #ClimateCrisis. That‘s what you did several times."
"HWDoncaster",2183,"Join our panel today and have your say about your local health services! Sign up today - https://t.co/uBftuHCFov 

For more information - https://t.co/i0FSXhoz0x

#Barnsley #Bassetlaw #Doncaster #Rotherham #Sheffield #NHS #Covid19 #Covid #Health #nhsheroes #corona #doctors https://t.co/8H3hTWRIlb"
"Bharatvarsha8",1,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"Mugeshg6",12,"#CSK 's #DeepakChahar who recovered from #Corona is doing well in the training.. He is fit and available for #CSK 's 1st match..

#CSK 's other player #RuturajGaikwad is yet to clear his #Corona tests.. He continues to be in quarantine.. Hope he recovers soon.."
"siyabulela131",803,"https://t.co/CNkjDmeCaz <U+2764>LIKE AND RETWEET #gamer #PS5 #GamingNews #gaming #games #game #PlayStation5 #videogames #Xbox #XboxSeriesX #gamergirl #twitch #news #covid #coronavirus #india #instagram #love #follow #like #media #music #corona #breakingnews #viral #instagood #fashion"
"tooranomaki6910",8313,"<U+3010>Wuhan Terrorists<U+3011>
#Wuhan #P4 #Corona #Virus
#DS #Puppet

<U+2460>Director of Wuhan Institute of Virology<U+0001F9A0>(37 so young!)
<U+2461>Vice President of Wuhan University
<U+2192><U+2460><U+2461>Married couple

<U+2462>Son of Jiang Zemin
<U+2192><U+2461><U+2462>Very close friend

<U+2463>Former<U+0001F1E8><U+0001F1F3>President Jiang Zemin https://t.co/FWYzGkf6W7"
"tooranomaki6910",8313,"<U+3010>Wuhan Terrorists<U+3011>
#Wuhan #P4 #Corona #Virus
#DS #Puppet

<U+2460>Director of Wuhan Institute of Virology<U+0001F9A0>(37 so young!)
<U+2461>Vice President of Wuhan University
<U+2192><U+2460><U+2461>Married couple

<U+2462>Son of Jiang Zemin
<U+2192><U+2461><U+2462>Very close friend

<U+2463>Former<U+0001F1E8><U+0001F1F3>President Jiang Zemin https://t.co/FWYzGkf6W7"
"AvglobeW",65,"Corona update!

#SunNews #Corona #CoronaVirus #Covid19 #IndiafightsCorona #Pandemic #Outbreak #stayhome

 #stayhomestaysafe #India #tn_together_againstcorona https://t.co/qbJd8vTdpU"
"AvglobeW",65,"Corona update!

#SunNews #Corona #CoronaVirus #Covid19 #IndiafightsCorona #Pandemic #Outbreak #stayhome

 #stayhomestaysafe #India #tn_together_againstcorona https://t.co/qql45N8gYr"
"hernandoortiz",77,"Over the past week the number of #schools closed has climbed to 81.
#France #Corona #Covid19  #Update #Students #Health #Safety  https://t.co/0NKZoVebMt"
"IYCArbabKhan",1514,"It’s important to keep yourself and others secured from #Corona .

Glimpses from Today’s mask distribution.
#MaskPehnoIndia
#StaySafe https://t.co/99OwYGFqya"
