"screen_name","followers_count","text"
"tiarosebailey",11,"lol just shut the pubs #Lockdown2 #corona"
"GbAfrique",24149,"England imposes up to $13,000 fine for breaking COVID-19 rules
#Corona https://t.co/j658mZtAEq"
"Oesch13767736",38,"@carlzimmer @nytimes Why they need a #vaccine? They are not in risk. 
#Covid_19 #Corona"
"MauriceSans",145,"We are approaching a second peak in the pandemic. Hundreds of thousands of people, healthy, fit and young are about to lose their lives to chronic illness and they don’t know it yet. All because of decades of stigma, ignorance and neglect #Corona #LongCovid  #meawarenesshour"
"clarineLallyjr7",0,"Aden is in desperate need for help. People are dying and most hospitals are closed. Not accepting patients. People don’t know what to do. No regulations. Today’s death toll is 60 #HelpAden #prayforaden #Covid_19 #Corona #coronavirus #aden #yemen @WHO https://t.co/xdTjQ8Vohu"
"Bundelabun",1326,"@MiddleEastEye @KingKing3107 @OborneTweets Breaking

Czech PM just resigned over critisism about his handling of the #Corona crisis. He said ""somebody with new ideas"" might do a better job. Compare that to @BorisJohnson and his ""never step back"" regime"
"TTVPromotion",14927,"[ GER/EN - #FallGuys ] Big YEETus - #SUBtember https://t.co/s84RhtsBzy #stayathome  #stayhomesavelives #stayhome  #wirbleibenzuhause  #corona #twitch #stream #streaming #german #germany #subscribe #views #hosting #live #livestream #blacklivesmatter #blm"
"RachelBurge8",32,"And we've all been grounded. #corona #curfew"
"DanielleOldham9",42,"Anyone know what shift corona virus is on next week? <U+0001F602> #Covid_19  #coronavirus #corona #backwardsdecisions"
"vegasguyuk",2,"Is there something else on it’s way <U+0001F914> #Covid_19 #Covid19UK #coronavirusuk #coronavirus #corona #Covid #COVID19ireland  #NOLOCKDOWN https://t.co/00tqvxI6zS"
"patriot101",9614,"No wonder the Dems want #Fauci and China. @CDCgov @CDCDirector @SWAtlasHoover @PressSec @PeterNavarro45 @larry_kudlow #Corona #Covid_19 This explains the 2015 grant to #Wuhan.  What say you Obama? @seanhannity @IngrahamAngle @TuckerCarlson https://t.co/P8WKITWcG1"
"patriot101",9614,"Snopes said it was mislabeled.  Yeah ok.  It was 2014 not 2015.  Nice try @snopes Give ALL the facts next time. Obama was with #Fauci about Ebola virus in a ""surprise"" visit from Obama.  #Covid_19 #Corona @HHSGov @seanhannity @IngrahamAngle @TuckerCarlson https://t.co/lpx0DxWOUc"
"patriot101",9614,"Snopes said it was mislabeled.  Yeah ok.  It was 2014 not 2015.  Nice try @snopes Give ALL the facts next time. Obama was with #Fauci about Ebola virus in a ""surprise"" visit from Obama.  #Covid_19 #Corona @HHSGov @seanhannity @IngrahamAngle @TuckerCarlson https://t.co/lpx0DxWOUc"
"patriot101",9614,"No wonder the Dems want #Fauci and China. @CDCgov @CDCDirector @SWAtlasHoover @PressSec @PeterNavarro45 @larry_kudlow #Corona #Covid_19 This explains the 2015 grant to #Wuhan.  What say you Obama? @seanhannity @IngrahamAngle @TuckerCarlson https://t.co/P8WKITWcG1"
"sahuchem",255,"#fake #sampling of #corona #test: A video of #Mathura’s CHC doctor giving more than 15 samples for Corona test for completing his sampling target goes viral. Health officials mark inquiry into the matter. @timesofindia @UPGovt @dmmathura7512 @myogiadityanath https://t.co/b044iinffd"
"arieldelancey9",0,"Many people do not know what is the meaning of #COVID19 

So I can help.

CO - stand for #Corona

VI - stand for #Virus

D - stand for Disease

19 - for the year 2019.

Don't #stigmatize. Stay safe. No panic."
"overton_johanna",152,"This year has been so rubbish and crazy I’m bringing out the Christmas  music in September. I don’t care #Corona #lockdown"
"David_Photo91",15,"#Corona: “It is not enough to impose rules that people don't understand. The cooperation of the population (...) is probably one of the most important parts in the whole intervention concept,” says Germany’s top virologist @c_drosten. https://t.co/sQ5s2Agslz"
"Michael_Kunz",2009,"1,935 new #Corona cases today in #Germany (up 16% since last Monday).
12,294 cases in the last 7 days (+28%)
Not a great start to the week (11 deaths).
Approx 140,000 est. in Quarantine.

But the sun will come up tomorrow... https://t.co/Pv3wCluKrX"
"RobertHamza8",28269,"@mspdcali You didn't get the memo?

#Corona is on Tour.....heading to Missouri...#BikeFest
Lefty's hopeful that 125,000 will be Infected &amp; spread throughout the US for a national Lockdown. 

That #COVID19, she's a smart SOB!"
"2kay2kay",549,"@MiddleEastEye @KingKing3107 @OborneTweets Breaking

Czech PM just resigned over critisism about his handling of the #Corona crisis. He said ""somebody with new ideas"" might do a better job. Compare that to @BorisJohnson and his ""never step back"" regime"
"ProgressOne10",3091,"#protectyourselfandyourfamily  #StayHomeStaySafe #CoronavirusPandemic #health #Covid19isGettingCloser #StaySafe #VirusCorona #Corona #coronavirusUSA 

Non-contact Thermometer Gun
$99.00 free shipping

USA Shipping 2-3 days with DHL
FREE shipping worldwide

https://t.co/YVgFEKIBiv https://t.co/tBMvtB3nbj"
"covidnewsCH",460,"1st elementary school in Ontario closes after students, staff test positive for COVID-19, https://t.co/WlghmR8qeu #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/3YHu3baK5h"
"covidnewsCH",460,"UK Science Advisers Set To Warn Public On COVID-19 Rates, News18 #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/MijdUs2KxY"
"covidnewsCH",460,"Quebec reports 462 new cases of COVID-19, five additional deaths #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/xCWiLG2HYG"
"covidnewsCH",460,"SEX FILES: Couples face pandemic with a cam-do attitude, Toronto Sun #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/A8gJFl5Hkq"
"covidnewsCH",460,"Gardenhire abruptly retires as Tigers' manager due to health concerns, Windsor Star #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/6Cn2d11unM"
"covidnewsCH",460,"Three- and four-bedroom houses selling at record prices, The Week #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/l9QLhUrHzl"
"covidnewsCH",460,"COVID-19: Time is now to spend on big-ticket capital projects, say mayor, urban experts, Edmonton Journal #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/blnTBb13mF"
